Naturais,Ciclo Perfeito,A / B,Excluídos-por-si,
165,8640000,"0,00001909722222222220",,
166,8640000,"0,00001921296296296300",191,
167,8640000,"0,00001932870370370370",,
168,8640000,"0,00001944444444444440",,
169,8640000,"0,00001956018518518520",,
170,8640000,"0,00001967592592592590",,
171,8640000,"0,00001979166666666670",,
172,8640000,"0,00001990740740740740",198,
173,8640000,"0,00002002314814814820",,
174,8640000,"0,00002013888888888890",,
175,8640000,"0,00002025462962962960",,
176,8640000,"0,00002037037037037040",,
177,8640000,"0,00002048611111111110",,
178,8640000,"0,00002060185185185190",205,
179,8640000,"0,00002071759259259260",,
180,8640000,"0,00002083333333333330",,
181,8640000,"0,00002094907407407410",,
182,8640000,"0,00002106481481481480",,
183,8640000,"0,00002118055555555560",,
184,8640000,"0,00002129629629629630",,
185,8640000,"0,00002141203703703700",213,
186,8640000,"0,00002152777777777780",,
187,8640000,"0,00002164351851851850",,
188,8640000,"0,00002175925925925930",,
189,8640000,"0,00002187500000000000",,
190,8640000,"0,00002199074074074070",,
191,8640000,"0,00002210648148148150",220,
192,8640000,"0,00002222222222222220",,
193,8640000,"0,00002233796296296300",,
194,8640000,"0,00002245370370370370",,
195,8640000,"0,00002256944444444440",,
196,8640000,"0,00002268518518518520",,
197,8640000,"0,00002280092592592590",227,
198,8640000,"0,00002291666666666670",,
199,8640000,"0,00002303240740740740",,
200,8640000,"0,00002314814814814810",,
201,8640000,"0,00002326388888888890",,
202,8640000,"0,00002337962962962960",,
203,8640000,"0,00002349537037037040",,
204,8640000,"0,00002361111111111110",235,
205,8640000,"0,00002372685185185190",,
206,8640000,"0,00002384259259259260",,
207,8640000,"0,00002395833333333330",,
208,8640000,"0,00002407407407407410",,
209,8640000,"0,00002418981481481480",,
210,8640000,"0,00002430555555555560",242,
211,8640000,"0,00002442129629629630",,
212,8640000,"0,00002453703703703700",,
213,8640000,"0,00002465277777777780",,
214,8640000,"0,00002476851851851850",,
215,8640000,"0,00002488425925925930",,
216,8640000,"0,00002500000000000000",249,
217,8640000,"0,00002511574074074070",,
218,8640000,"0,00002523148148148150",,
219,8640000,"0,00002534722222222220",,
220,8640000,"0,00002546296296296300",,
221,8640000,"0,00002557870370370370",,
222,8640000,"0,00002569444444444440",,
223,8640000,"0,00002581018518518520",257,
224,8640000,"0,00002592592592592590",,
225,8640000,"0,00002604166666666670",,
226,8640000,"0,00002615740740740740",,
227,8640000,"0,00002627314814814820",,
228,8640000,"0,00002638888888888890",,
229,8640000,"0,00002650462962962960",264,
230,8640000,"0,00002662037037037040",,
231,8640000,"0,00002673611111111110",,
232,8640000,"0,00002685185185185190",,
233,8640000,"0,00002696759259259260",,
234,8640000,"0,00002708333333333330",,
235,8640000,"0,00002719907407407410",,
236,8640000,"0,00002731481481481480",272,
237,8640000,"0,00002743055555555560",,
238,8640000,"0,00002754629629629630",,
239,8640000,"0,00002766203703703700",,
240,8640000,"0,00002777777777777780",,
241,8640000,"0,00002789351851851850",,
242,8640000,"0,00002800925925925930",279,
243,8640000,"0,00002812500000000000",,
244,8640000,"0,00002824074074074070",,
245,8640000,"0,00002835648148148150",,
246,8640000,"0,00002847222222222220",,
247,8640000,"0,00002858796296296300",,
248,8640000,"0,00002870370370370370",286,
249,8640000,"0,00002881944444444440",,
250,8640000,"0,00002893518518518520",,
251,8640000,"0,00002905092592592590",,
252,8640000,"0,00002916666666666670",,
253,8640000,"0,00002928240740740740",,
254,8640000,"0,00002939814814814820",,
255,8640000,"0,00002951388888888890",294,
256,8640000,"0,00002962962962962960",,
257,8640000,"0,00002974537037037040",,
258,8640000,"0,00002986111111111110",,
259,8640000,"0,00002997685185185190",,
260,8640000,"0,00003009259259259260",,
261,8640000,"0,00003020833333333330",301,
262,8640000,"0,00003032407407407410",,
263,8640000,"0,00003043981481481480",,
264,8640000,"0,00003055555555555560",,
265,8640000,"0,00003067129629629630",,
266,8640000,"0,00003078703703703700",,
267,8640000,"0,00003090277777777780",308,
268,8640000,"0,00003101851851851850",,
269,8640000,"0,00003113425925925930",,
270,8640000,"0,00003125000000000000",,
271,8640000,"0,00003136574074074070",,
272,8640000,"0,00003148148148148150",,
273,8640000,"0,00003159722222222220",,
274,8640000,"0,00003171296296296300",316,
275,8640000,"0,00003182870370370370",,
276,8640000,"0,00003194444444444450",,
277,8640000,"0,00003206018518518520",,
278,8640000,"0,00003217592592592590",,
279,8640000,"0,00003229166666666670",,
280,8640000,"0,00003240740740740740",323,
281,8640000,"0,00003252314814814820",,
282,8640000,"0,00003263888888888890",,
283,8640000,"0,00003275462962962960",,
284,8640000,"0,00003287037037037040",,
285,8640000,"0,00003298611111111110",,
286,8640000,"0,00003310185185185190",330,
287,8640000,"0,00003321759259259260",,
288,8640000,"0,00003333333333333330",,
289,8640000,"0,00003344907407407410",,
290,8640000,"0,00003356481481481480",,
291,8640000,"0,00003368055555555560",,
292,8640000,"0,00003379629629629630",,
293,8640000,"0,00003391203703703700",338,
294,8640000,"0,00003402777777777780",,
295,8640000,"0,00003414351851851850",,
296,8640000,"0,00003425925925925930",,
297,8640000,"0,00003437500000000000",,
298,8640000,"0,00003449074074074070",,
299,8640000,"0,00003460648148148150",345,
300,8640000,"0,00003472222222222220",,
301,8640000,"0,00003483796296296300",,
302,8640000,"0,00003495370370370370",,
303,8640000,"0,00003506944444444440",,
304,8640000,"0,00003518518518518520",,
305,8640000,"0,00003530092592592590",352,
306,8640000,"0,00003541666666666670",,
307,8640000,"0,00003553240740740740",,
308,8640000,"0,00003564814814814820",,
309,8640000,"0,00003576388888888890",,
310,8640000,"0,00003587962962962960",,
311,8640000,"0,00003599537037037040",,
312,8640000,"0,00003611111111111110",360,
313,8640000,"0,00003622685185185190",,
314,8640000,"0,00003634259259259260",,
315,8640000,"0,00003645833333333330",,
316,8640000,"0,00003657407407407410",,
317,8640000,"0,00003668981481481480",,
318,8640000,"0,00003680555555555560",367,
319,8640000,"0,00003692129629629630",,
320,8640000,"0,00003703703703703700",,
321,8640000,"0,00003715277777777780",,
322,8640000,"0,00003726851851851850",,
323,8640000,"0,00003738425925925930",,
324,8640000,"0,00003750000000000000",374,
325,8640000,"0,00003761574074074070",,
326,8640000,"0,00003773148148148150",,
327,8640000,"0,00003784722222222220",,
328,8640000,"0,00003796296296296300",,
329,8640000,"0,00003807870370370370",,
330,8640000,"0,00003819444444444440",,
331,8640000,"0,00003831018518518520",382,
332,8640000,"0,00003842592592592590",,
333,8640000,"0,00003854166666666670",,
334,8640000,"0,00003865740740740740",,
335,8640000,"0,00003877314814814820",,
336,8640000,"0,00003888888888888890",,
337,8640000,"0,00003900462962962960",389,
338,8640000,"0,00003912037037037040",,
339,8640000,"0,00003923611111111110",,
340,8640000,"0,00003935185185185190",,
341,8640000,"0,00003946759259259260",,
342,8640000,"0,00003958333333333330",,
343,8640000,"0,00003969907407407410",,
344,8640000,"0,00003981481481481480",397,
345,8640000,"0,00003993055555555560",,
346,8640000,"0,00004004629629629630",,
347,8640000,"0,00004016203703703700",,
348,8640000,"0,00004027777777777780",,
349,8640000,"0,00004039351851851850",,
350,8640000,"0,00004050925925925930",404,
351,8640000,"0,00004062500000000000",,
352,8640000,"0,00004074074074074070",,
353,8640000,"0,00004085648148148150",,
354,8640000,"0,00004097222222222220",,
355,8640000,"0,00004108796296296300",,
356,8640000,"0,00004120370370370370",411,
357,8640000,"0,00004131944444444440",,
358,8640000,"0,00004143518518518520",,
359,8640000,"0,00004155092592592590",,
360,8640000,"0,00004166666666666670",,
361,8640000,"0,00004178240740740740",,
362,8640000,"0,00004189814814814810",,
363,8640000,"0,00004201388888888890",419,
364,8640000,"0,00004212962962962960",,
365,8640000,"0,00004224537037037040",,
366,8640000,"0,00004236111111111110",,
367,8640000,"0,00004247685185185190",,
368,8640000,"0,00004259259259259260",,
369,8640000,"0,00004270833333333330",426,
370,8640000,"0,00004282407407407410",,
371,8640000,"0,00004293981481481480",,
372,8640000,"0,00004305555555555560",,
373,8640000,"0,00004317129629629630",,
374,8640000,"0,00004328703703703700",,
375,8640000,"0,00004340277777777780",433,
376,8640000,"0,00004351851851851850",,
377,8640000,"0,00004363425925925930",,
378,8640000,"0,00004375000000000000",,
379,8640000,"0,00004386574074074070",,
380,8640000,"0,00004398148148148150",,
381,8640000,"0,00004409722222222220",,
382,8640000,"0,00004421296296296300",441,
383,8640000,"0,00004432870370370370",,
384,8640000,"0,00004444444444444440",,
385,8640000,"0,00004456018518518520",,
386,8640000,"0,00004467592592592590",,
387,8640000,"0,00004479166666666670",,
388,8640000,"0,00004490740740740740",448,
389,8640000,"0,00004502314814814820",,
390,8640000,"0,00004513888888888890",,
391,8640000,"0,00004525462962962960",,
392,8640000,"0,00004537037037037040",,
393,8640000,"0,00004548611111111110",,
394,8640000,"0,00004560185185185190",455,
395,8640000,"0,00004571759259259260",,
396,8640000,"0,00004583333333333330",,
397,8640000,"0,00004594907407407410",,
398,8640000,"0,00004606481481481480",,
399,8640000,"0,00004618055555555560",,
400,8640000,"0,00004629629629629630",,
401,8640000,"0,00004641203703703700",463,
402,8640000,"0,00004652777777777780",,
403,8640000,"0,00004664351851851850",,
404,8640000,"0,00004675925925925930",,
405,8640000,"0,00004687500000000000",,
406,8640000,"0,00004699074074074070",,
407,8640000,"0,00004710648148148150",470,
408,8640000,"0,00004722222222222220",,
409,8640000,"0,00004733796296296300",,
410,8640000,"0,00004745370370370370",,
411,8640000,"0,00004756944444444440",,
412,8640000,"0,00004768518518518520",,
413,8640000,"0,00004780092592592590",477,
414,8640000,"0,00004791666666666670",,
415,8640000,"0,00004803240740740740",,
416,8640000,"0,00004814814814814820",,
417,8640000,"0,00004826388888888890",,
418,8640000,"0,00004837962962962960",,
419,8640000,"0,00004849537037037040",,
420,8640000,"0,00004861111111111110",485,
421,8640000,"0,00004872685185185190",,
422,8640000,"0,00004884259259259260",,
423,8640000,"0,00004895833333333330",,
424,8640000,"0,00004907407407407410",,
425,8640000,"0,00004918981481481480",,
426,8640000,"0,00004930555555555560",492,
427,8640000,"0,00004942129629629630",,
428,8640000,"0,00004953703703703700",,
429,8640000,"0,00004965277777777780",,
430,8640000,"0,00004976851851851850",,
431,8640000,"0,00004988425925925930",499,
432,8640000,"0,00005000000000000000",,
433,8640000,"0,00005011574074074070",,
434,8640000,"0,00005023148148148150",,
435,8640000,"0,00005034722222222220",,
436,8640000,"0,00005046296296296300",,
437,8640000,"0,00005057870370370370",,
438,8640000,"0,00005069444444444440",,
439,8640000,"0,00005081018518518520",507,
440,8640000,"0,00005092592592592590",,
441,8640000,"0,00005104166666666670",,
442,8640000,"0,00005115740740740740",,
443,8640000,"0,00005127314814814820",,
444,8640000,"0,00005138888888888890",,
445,8640000,"0,00005150462962962960",514,
446,8640000,"0,00005162037037037040",,
447,8640000,"0,00005173611111111110",,
448,8640000,"0,00005185185185185190",,
449,8640000,"0,00005196759259259260",,
450,8640000,"0,00005208333333333330",,
451,8640000,"0,00005219907407407410",,
452,8640000,"0,00005231481481481480",522,
453,8640000,"0,00005243055555555560",,
454,8640000,"0,00005254629629629630",,
455,8640000,"0,00005266203703703700",,
456,8640000,"0,00005277777777777780",,
457,8640000,"0,00005289351851851850",,
458,8640000,"0,00005300925925925930",529,
459,8640000,"0,00005312500000000000",,
460,8640000,"0,00005324074074074070",,
461,8640000,"0,00005335648148148150",,
462,8640000,"0,00005347222222222220",,
463,8640000,"0,00005358796296296300",,
464,8640000,"0,00005370370370370370",536,
465,8640000,"0,00005381944444444440",,
466,8640000,"0,00005393518518518520",,
467,8640000,"0,00005405092592592590",,
468,8640000,"0,00005416666666666670",,
469,8640000,"0,00005428240740740740",,
470,8640000,"0,00005439814814814820",,
471,8640000,"0,00005451388888888890",544,
472,8640000,"0,00005462962962962960",,
473,8640000,"0,00005474537037037040",,
474,8640000,"0,00005486111111111110",,
475,8640000,"0,00005497685185185190",,
476,8640000,"0,00005509259259259260",,
477,8640000,"0,00005520833333333330",551,
478,8640000,"0,00005532407407407410",,
479,8640000,"0,00005543981481481480",,
480,8640000,"0,00005555555555555560",,
481,8640000,"0,00005567129629629630",,
482,8640000,"0,00005578703703703700",,
483,8640000,"0,00005590277777777780",558,
484,8640000,"0,00005601851851851850",,
485,8640000,"0,00005613425925925930",,
486,8640000,"0,00005625000000000000",,
487,8640000,"0,00005636574074074070",,
488,8640000,"0,00005648148148148150",,
489,8640000,"0,00005659722222222220",,
490,8640000,"0,00005671296296296300",566,
491,8640000,"0,00005682870370370370",,
492,8640000,"0,00005694444444444440",,
493,8640000,"0,00005706018518518520",,
494,8640000,"0,00005717592592592590",,
495,8640000,"0,00005729166666666670",,
496,8640000,"0,00005740740740740740",573,
497,8640000,"0,00005752314814814810",,
498,8640000,"0,00005763888888888890",,
499,8640000,"0,00005775462962962960",,
500,8640000,"0,00005787037037037040",,
501,8640000,"0,00005798611111111110",,
502,8640000,"0,00005810185185185190",580,
503,8640000,"0,00005821759259259260",,
504,8640000,"0,00005833333333333330",,
505,8640000,"0,00005844907407407410",,
506,8640000,"0,00005856481481481480",,
507,8640000,"0,00005868055555555560",,
508,8640000,"0,00005879629629629630",,
509,8640000,"0,00005891203703703700",588,
510,8640000,"0,00005902777777777780",,
511,8640000,"0,00005914351851851850",,
512,8640000,"0,00005925925925925930",,
513,8640000,"0,00005937500000000000",,
514,8640000,"0,00005949074074074070",,
515,8640000,"0,00005960648148148150",595,
516,8640000,"0,00005972222222222220",,
517,8640000,"0,00005983796296296300",,
518,8640000,"0,00005995370370370370",,
519,8640000,"0,00006006944444444450",,
520,8640000,"0,00006018518518518520",,
521,8640000,"0,00006030092592592590",602,
522,8640000,"0,00006041666666666670",,
523,8640000,"0,00006053240740740740",,
524,8640000,"0,00006064814814814820",,
525,8640000,"0,00006076388888888890",,
526,8640000,"0,00006087962962962960",,
527,8640000,"0,00006099537037037040",,
528,8640000,"0,00006111111111111110",610,
529,8640000,"0,00006122685185185190",,
530,8640000,"0,00006134259259259260",,
531,8640000,"0,00006145833333333330",,
532,8640000,"0,00006157407407407410",,
533,8640000,"0,00006168981481481480",,
534,8640000,"0,00006180555555555560",617,
535,8640000,"0,00006192129629629630",,
536,8640000,"0,00006203703703703700",,
537,8640000,"0,00006215277777777780",,
538,8640000,"0,00006226851851851850",,
539,8640000,"0,00006238425925925930",,
540,8640000,"0,00006250000000000000",624,
541,8640000,"0,00006261574074074070",,
542,8640000,"0,00006273148148148150",,
543,8640000,"0,00006284722222222220",,
544,8640000,"0,00006296296296296300",,
545,8640000,"0,00006307870370370370",,
546,8640000,"0,00006319444444444440",,
547,8640000,"0,00006331018518518520",632,
548,8640000,"0,00006342592592592590",,
549,8640000,"0,00006354166666666670",,
550,8640000,"0,00006365740740740740",,
551,8640000,"0,00006377314814814810",,
552,8640000,"0,00006388888888888890",,
553,8640000,"0,00006400462962962960",639,
554,8640000,"0,00006412037037037040",,
555,8640000,"0,00006423611111111110",,
556,8640000,"0,00006435185185185190",,
557,8640000,"0,00006446759259259260",,
558,8640000,"0,00006458333333333330",,
559,8640000,"0,00006469907407407410",,
560,8640000,"0,00006481481481481480",647,
561,8640000,"0,00006493055555555560",,
562,8640000,"0,00006504629629629630",,
563,8640000,"0,00006516203703703700",,
564,8640000,"0,00006527777777777780",,
565,8640000,"0,00006539351851851850",,
566,8640000,"0,00006550925925925930",654,
567,8640000,"0,00006562500000000000",,
568,8640000,"0,00006574074074074070",,
569,8640000,"0,00006585648148148150",,
