,,,698,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,705,7,,2094,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,713,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,720,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,727,7,,2160,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,735,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,742,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,749,7,,2226,66,375,11741,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,757,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,764,7,,1521,250,,,816,882,948,1014,1080,,,,,,,,,,,,,,,,,,,,,,,,
,,,772,8,1,,,,,,66,66,66,66,,,,,,,,,,,,,,,,,,,,,,,,
,,,779,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,786,7,,2337,816,375,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,794,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,801,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,808,7,,2403,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,816,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,823,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,830,7,,2469,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,838,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,845,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,852,7,,2535,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,860,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,867,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,874,7,,2601,66,375,13866,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,882,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,889,7,,1771,250,,,941,1007,1073,1139,1205,,,,,,,,,,,,,,,,,,,,,,,,
,,,897,8,1,,,,,,66,66,66,66,,,,,,,,,,,,,,,,,,,,,,,,
,,,904,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,911,7,,2712,941,375,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,919,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,926,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,933,7,,2778,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,941,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,948,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,955,7,,2844,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,963,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,970,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,977,7,,2910,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,985,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,992,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,999,7,,2976,66,375,15991,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,68428,,,68428,7890,13125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUPO 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SOMA,,,,SUBTRAÇÕES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,8,,TOTAL.G-1.C,,21,,TOTAL.G-1.1,,87,,TOTAL.G-1.1,,87,,330,,DIFERENÇA.G.2.1-C,,191,,,,,,,,,,,,,,,,
,,,14,7,,TOTAL.G-1.1,,87,,TOTAL.G-1.C,,21,,TOTAL.G-1.C,,21,,264,,DIFERENÇA.G.1.1-C,,66,,,,,,,,,,,,,,,,
TOTAL.G-1.C,,,21,,,TOTAL.G-1.2,,153,,DIFERENÇA.G.1.1-C,,66,,,,66,,66,,,,125,,,,,,,,,,,,,,,,
,,,,,,TOTAL.G-1.3,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22,8,1,TOTAL.G-1.4,,285,,TOTAL.G-1.2,,153,,TOTAL.G-1.2,,153,,264,,DIFERENÇA.G.3.1-C,,316,,,,,,,,,,,,,,,,
,,,29,7,,TOTAL.G-1.5,,351,,TOTAL.G-1.1,,87,,TOTAL.G-1.C,,21,,198,,DIFERENÇA.G.2.1-C,,191,,,,,,,,,,,,,,,,
,,,36,7,,TOTAL.G-1,,1116,,DIFERENÇA.G.1.2-1,,66,,,,132,,66,,,,125,,,,,,,,,,,,,,,,
TOTAL.G-1.1,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,TOTAL.G-1.3,,219,,TOTAL.G-1.3,,219,,198,,DIFERENÇA.G.4.1-C,,441,,,,,,,,,,,,,,,,
,,,44,8,2,,,,,TOTAL.G-1.2,,153,,TOTAL.G-1.C,,21,,132,,DIFERENÇA.G.3.1-C,,316,,,,,,,,,,,,,,,,
,,,51,7,,,,,,DIFERENÇA.G.1.3-2,,66,,,,198,,66,,,,125,,,,,,,,,,,,,,,,
,,,58,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL.G-1.2,,,153,,,,,,,TOTAL.G-1.4,,285,,TOTAL.G-1.4,,285,,132,,DIFERENÇA.G.5.1-C,,566,,,,,,,,,,,,,,,,
,,,,,,,,,,TOTAL.G-1.3,,219,,TOTAL.G-1.C,,21,,66,,DIFERENÇA.G.4.1-C,,441,,,,,,,,,,,,,,,,
,,,66,8,3,,,,,DIFERENÇA.G.1.4-3,,66,,,,264,,66,,,,125,,,,,,,,,,,,,,,,
