Naturais,B + 32,Ciclo Perfeito,B / C,D posterior – D anterior
237,7584,8640000,"0,00087777777777777800","0,00000370370370370368"
238,7616,8640000,"0,00088148148148148200","0,00000370370370370368"
239,7648,8640000,"0,00088518518518518500","0,00000370370370370379"
240,7680,8640000,"0,00088888888888888900","0,00000370370370370368"
241,7712,8640000,"0,00089259259259259300","0,00000370370370370368"
242,7744,8640000,"0,00089629629629629600","0,00000370370370370368"
243,7776,8640000,"0,00090000000000000000","0,00000370370370370368"
244,7808,8640000,"0,00090370370370370400","0,00000370370370370379"
245,7840,8640000,"0,00090740740740740800","0,00000370370370370368"
246,7872,8640000,"0,00091111111111111100","0,00000370370370370368"
247,7904,8640000,"0,00091481481481481500","0,00000370370370370368"
248,7936,8640000,"0,00091851851851851900","0,00000370370370370368"
249,7968,8640000,"0,00092222222222222200","0,00000370370370370379"
250,8000,8640000,"0,00092592592592592600","0,00000370370370370368"
251,8032,8640000,"0,00092962962962963000","0,00000370370370370368"
252,8064,8640000,"0,00093333333333333300","0,00000370370370370368"
253,8096,8640000,"0,00093703703703703700","0,00000370370370370379"
254,8128,8640000,"0,00094074074074074100","0,00000370370370370368"
255,8160,8640000,"0,00094444444444444500","0,00000370370370370368"
256,8192,8640000,"0,00094814814814814800","0,00000370370370370368"
257,8224,8640000,"0,00095185185185185200","0,00000370370370370368"
258,8256,8640000,"0,00095555555555555600","0,00000370370370370379"
259,8288,8640000,"0,00095925925925925900","0,00000370370370370368"
260,8320,8640000,"0,00096296296296296300","0,00000370370370370368"
261,8352,8640000,"0,00096666666666666700","0,00000370370370370368"
262,8384,8640000,"0,00097037037037037000","0,00000370370370370368"
263,8416,8640000,"0,00097407407407407400","0,00000370370370370368"
264,8448,8640000,"0,00097777777777777800","0,00000370370370370368"
265,8480,8640000,"0,00098148148148148100","0,00000370370370370368"
266,8512,8640000,"0,00098518518518518500","0,00000370370370370390"
267,8544,8640000,"0,00098888888888888900","0,00000370370370370368"
268,8576,8640000,"0,00099259259259259300","0,00000370370370370368"
269,8608,8640000,"0,00099629629629629600","0,00000370370370370368"
270,8640,8640000,"0,00100000000000000000","0,00000370370370370368"
271,8672,8640000,"0,00100370370370370000","0,00000370370370370368"
272,8704,8640000,"0,00100740740740741000","0,00000370370370370368"
273,8736,8640000,"0,00101111111111111000","0,00000370370370370368"
274,8768,8640000,"0,00101481481481481000","0,00000370370370370368"
275,8800,8640000,"0,00101851851851852000","0,00000370370370370390"
276,8832,8640000,"0,00102222222222222000","0,00000370370370370368"
277,8864,8640000,"0,00102592592592593000","0,00000370370370370368"
278,8896,8640000,"0,00102962962962963000","0,00000370370370370368"
279,8928,8640000,"0,00103333333333333000","0,00000370370370370368"
280,8960,8640000,"0,00103703703703704000","0,00000370370370370368"
281,8992,8640000,"0,00104074074074074000","0,00000370370370370368"
282,9024,8640000,"0,00104444444444444000","0,00000370370370370368"
283,9056,8640000,"0,00104814814814815000","0,00000370370370370368"
284,9088,8640000,"0,00105185185185185000","0,00000370370370370368"
285,9120,8640000,"0,00105555555555556000","0,00000370370370370390"
286,9152,8640000,"0,00105925925925926000","0,00000370370370370368"
287,9184,8640000,"0,00106296296296296000","0,00000370370370370368"
288,9216,8640000,"0,00106666666666667000","0,00000370370370370368"
289,9248,8640000,"0,00107037037037037000","0,00000370370370370368"
290,9280,8640000,"0,00107407407407407000","0,00000370370370370368"
291,9312,8640000,"0,00107777777777778000","0,00000370370370370368"
292,9344,8640000,"0,00108148148148148000","0,00000370370370370368"
293,9376,8640000,"0,00108518518518519000","0,00000370370370370368"
294,9408,8640000,"0,00108888888888889000","0,00000370370370370368"
295,9440,8640000,"0,00109259259259259000","0,00000370370370370390"
296,9472,8640000,"0,00109629629629630000","0,00000370370370370368"
297,9504,8640000,"0,00110000000000000000","0,00000370370370370368"
298,9536,8640000,"0,00110370370370370000","0,00000370370370370368"
299,9568,8640000,"0,00110740740740741000","0,00000370370370370368"
300,9600,8640000,"0,00111111111111111000","0,00000370370370370368"
301,9632,8640000,"0,00111481481481481000","0,00000370370370370368"
302,9664,8640000,"0,00111851851851852000","0,00000370370370370368"
303,9696,8640000,"0,00112222222222222000","0,00000370370370370368"
304,9728,8640000,"0,00112592592592593000","0,00000370370370370390"
305,9760,8640000,"0,00112962962962963000","0,00000370370370370368"
306,9792,8640000,"0,00113333333333333000","0,00000370370370370368"
307,9824,8640000,"0,00113703703703704000","0,00000370370370370368"
308,9856,8640000,"0,00114074074074074000","0,00000370370370370368"
309,9888,8640000,"0,00114444444444444000","0,00000370370370370368"
310,9920,8640000,"0,00114814814814815000","0,00000370370370370368"
311,9952,8640000,"0,00115185185185185000","0,00000370370370370368"
312,9984,8640000,"0,00115555555555556000","0,00000370370370370368"
313,10016,8640000,"0,00115925925925926000","0,00000370370370370368"
314,10048,8640000,"0,00116296296296296000","0,00000370370370370390"
315,10080,8640000,"0,00116666666666667000","0,00000370370370370368"
316,10112,8640000,"0,00117037037037037000","0,00000370370370370368"
317,10144,8640000,"0,00117407407407407000","0,00000370370370370368"
318,10176,8640000,"0,00117777777777778000","0,00000370370370370368"
319,10208,8640000,"0,00118148148148148000","0,00000370370370370368"
320,10240,8640000,"0,00118518518518519000","0,00000370370370370368"
321,10272,8640000,"0,00118888888888889000","0,00000370370370370368"
322,10304,8640000,"0,00119259259259259000","0,00000370370370370368"
323,10336,8640000,"0,00119629629629630000","0,00000370370370370368"
324,10368,8640000,"0,00120000000000000000","0,00000370370370370390"
325,10400,8640000,"0,00120370370370370000","0,00000370370370370368"
